"","name","desc","langCat"
"16","Almec","Mandalorian politician who served as Prime Minister of Mandalore during the Clone Wars. He was a prominent supporter of Satine Kryze and her New Mandalorian government. He was imprisoned for his involvement in an illegal smuggling ring, but was later freed and reinstated as Prime Minister after Darth Maul took over the New Mandalorian capital city of Sundari.","latin"
"17","Mas Amedda","Vice chair of the Galactic Senate. Blake played the character in Star Wars Episode I: The Phantom Menace, Bowers played him in Star Wars Episode II: Attack of the Clones, and both actors appeared in the role for Star Wars Episode III: Revenge of the Sith.","welsh"
"18","Amee","Human friend of Anakin Skywalker in The Phantom Menace. Was portrayed by George Lucas's daughter Katie Lucas, credited as Jenna Green.","manx"
"19","Padmé Amidala","Child queen, and later Senator, of Naboo, who marries Anakin Skywalker and dies giving birth to Luke Skywalker and Leia Organa Solo.","tagalog"
"20","Darth Andeddu","The self-styled ""Immortal God-King of Prakith"" who reigned as Dark Lord of the Sith during the Hundred-Year Darkness. He left behind a holocron that supposedly held the secret to immortality.","welsh"
"21","Nom Anor","A Yuuzhan Vong character prominent throughout The New Jedi Order series of novels, published from 1999 to 2003. He was responsible for half of the Yuuzhan Vong invasion in the Star Wars galaxy. In the latter half of the The New Jedi Order, he became an antihero as he led a heretical movement among his people to take down their ruler, Supreme Overlord Shimrra. By the series's end, having seen to the deaths of Shimrra and his puppet master Onimi, Nom Anor chose death over living in the postwar galaxy.","portuguese"
"22","Bail Antilles","An Alderaanian senator; as he is the father of Breha Antilles, wife to Bail Organa, Antilles could be seen as the grandfather of Leia Organa Solo Sundered Heart owner.","french"
"23","Raymus Antilles","Captain of the Tantive IV in Star Wars Episode III: Revenge of the Sith and Episode IV: A New Hope, and as captain of the Sundered Heart in the game Star Wars: Empire at War. He was choked by Darth Vader in Episode IV. No relation to Wedge Antilles.","latin"
"24","Wedge Antilles","A Rebel and New Republic starfighter pilot.","danish"
"25","Queen Apailana","Queen of Naboo during the last year of the Clone Wars. She is seen during Padmé's funeral at the end of Star Wars Episode III: Revenge of the Sith. She is later assassinated by Stormtroopers of the Imperial 501st Legion for harboring fugitive Jedi (This is depicted in Star Wars: Battlefront II.)","scots"
"26","Commander Appo","Clone Commander of the 501st Legion in Revenge of the Sith. Is also known as CC-1119. Killed in Dark Lord: The Rise of Darth Vader.","catalan"
"27","Passel Argente","Magistrate of the Corporate Alliance, member of the Separatist Council. He was killed by Darth Vader along with the rest of the Separatist Council in Revenge of the Sith.","portuguese"
"28","Faro Argyus","Captain of the Senate Commandos who was bribed by Count Dooku to free Viceroy Nute Gunray from Republic captivity.","lithuanian"
"29","Seti Ashgad","A hyperdrive engineer working for the Incom Corporation who also served in the Galactic Senate during the days of the Clone Wars. He was known as ""The Golden Tempter"", and was also known for his extreme ambition and wanted to replace Palpatine as Supreme Chancellor.","scots"
"30","Attichitcuk","The father of Chewbacca. He was one of Kashyyyk's prominent chieftains during the final years of the Galactic Republic. He appears as a playable character in Star Wars: Galactic Battlegrounds.","scots"
"31","Tavion Axmis","Antagonist in Star Wars Jedi Knight: Jedi Academy.","english"
"32","Azrakel","Apprentice of Kadann who served the Secret Order of the Empire. Azrakel was known for his disturbing and sadistic penchant for killing. Following the death of Emperor Palpatine, he becomes a mercenary operating in the Outer Rim.","hungarian"
"33","Azzameen Family","Protagonists in the video game Star Wars: X-Wing Alliance, including player character Ace and his father and the family patriarch Tomaas.","hungarian"
"34","B4-D4","The administrative droid that works for Czerka on Telos in the Outer Rim. It is possible to control B4-D4 in Star Wars: Knights of the Old Republic II – The Sith Lords while helping the Ithorians with their restoration project.","german"
"35","Ponda Baba","Aqualish mercenary who attacks Luke Skywalker in A New Hope. When the original Kenner action figure for Baba was released, the then-unnamed alien was called simply ""Walrus Man"". His proper name (as well as the name of his species) was given in 1989 for his appearance in a Star Wars role-playing game.","indonesian"
"36","Kitster Banai","Tatooine slave boy who was Anakin Skywalker's childhood best friend. Later in his life he became a majordomo for the Rendala Estate in Mos Espa, and was instrumental in helping Anakin's daughter, Leia Organa, forgive Anakin for his actions as Darth Vader.","indonesian"
"37","Darth Bandon","Apprentice of Darth Malak. Killed by Revan during the events of Knights of the Old Republic.","german"
"38","Cad Bane","A ruthless bounty hunter and main antagonist in season 2 of The Clone Wars who appears in Star Wars: The Clone Wars – Republic Heroes.","scots_gaelic"
"39","Darth Bane","Dark Lord of the Sith in the Darth Bane book series. He was responsible regaining the ""Rule of Two"" that states there shall only ever be two Sith warriors at a time, a Master and an Apprentice, during the Old Republic","irish"
"40","Moradmin Bast","Imperial general who served aboard the first Death Star; during the space battle above Yavin 4, he informed Grand Moff Tarkin that there was a danger posed by the Rebels' attack and suggested that they standby for evacuation, only to be rebuked by an overconfident Tarkin in A New Hope.","estonian"
"41","BB-8","— An astromech droid with a domed head, with the bulk of its body made up of a mostly white ball, painted with silver and orange markings and a round red lighted eye similar to R2-D2. BB-8 rolls on it’s ball body in any direction while the domed head stays in place but can pivot 360 degrees. The movie debut of the droid will be in Star Wars: Episode VII The Force Awakens.","irish"
"42","Beed","The second head of the male Troig in The Phantom Menace who commentates for the Boonta Eve Classic.","scots"
"43","Garm Bel Iblis","A Republic senator and initial member of the Rebel Alliance.","middle_frisian"
"44","Sio Bibble","Governor of Naboo in the prequel trilogy.","irish"
"45","Depa Billaba","Jedi Master on the Jedi High Council in The Phantom Menace. Was sent to Haruun Kal by the council. She fell to the dark side and fell into a coma, but was rumored to have recovered to become the master of Kanan Jarrus.","indonesian"
"46","Jar Jar Binks","Helpless but good-natured Gungan throughout the prequel trilogy. Also known to be clumsy, Jar Jar Binks is always causing trouble and he talks a lot. When Qui-Gon Jinn saved Jar Jar Binks, Jar Jar Binks journeyed with them to the Republic.","middle_frisian"
"47","Deliah Blue","A companion of Cade Skywalker and Jariah Syn during the Sith-Imperial War in the Legacy comic series.","indonesian"
"48","Blue Max","Droid that is part of Han Solo's crew in The Han Solo Adventures by Brian Daley.","french"
"49","Commander Bly","A clone commander who led the 327th Star Corps under Jedi General Aayla Secura in Star Wars: The Clone Wars and in Star Wars: Revenge of the Sith. When Order 66 was issued, Bly executed Secura on Felucia.","danish"
"50","Bossk","A Trandoshan bounty hunter in The Empire Strikes Back. He also appeared in the book Tales of the Bounty Hunters, the books of the Bounty Hunter Wars trilogy, in the story ""The Prize Pelt"", and in Star Wars: Empire at War: Forces of Corruption.","czech-iso8859_2"
"51","Bollux","Droid that is part of Han Solo's crew in The Han Solo Adventures by Brian Daley.","french"
"52","Lux Bonteri","Son of Mina Bonteri and freedom fighter in the Clone Wars.","french"
"53","Mina Bonteri","Mother of Lux Bonteri and separatist senator in the Clone Wars.","indonesian"
"54","Borvo the Hutt","A Hutt smuggler on Tatooine featured in Star Wars: Episode I: The Phantom Menace.","scots"
"55","Empatojayos Brand","Ancient Jedi who sacrifices himself willingly to send his eternal soul to the Dark Side, to ensure Palpatine would go as well and can never return in the Star Wars comic book metaseries Dark Empire.","english"
"56","Malcor Brashin","Grand General in the Imperial Army who was heavily involved in the Battles of Tatooine and Yavin 4. He was prominently featured in Star Wars: Force Commander.","manx"
"57","Senator Bana Breemu","Representative of the Humbarine sector in the Galactic Senate during the Galactic Republic.","indonesian"
"58","Ezra Bridger","He is a 14-year-old con artist, thief, and pickpocket living on the Outer Rim world of Lothal as the Empire strip mines the resources of his homeworld for Sienar's TIE fighter production.He is able to use the Force, and has used it to get out of certain predicaments. Stealing to survive, he had no real loyalty to anyone until he met the crew of the Ghost. His master is Kanan Jarus.","middle_frisian"
"59","Noa Briqualon","Marooned on Endor in Ewoks: The Battle for Endor.","italian"
"60","Maris Brood","Jedi in The Force Unleashed who later turns to the dark side. Starkiller spares her life on Felucia.","middle_frisian"
"61","Sora Bulq","Weequay Jedi Master and friend of Mace Windu who was turned to the Dark Side by Count Dooku. He is later killed by Quinlan Vos on Saleucami. Sora Bulq was present at the Battle of Geonosis in Attack of the Clones, where he wielded a blue lightsaber.","indonesian"
"62","C-3PO","Protocol droid who appears throughout the Star Wars films and Expanded Universe.","catalan"
"63","Darth Caedus","Sith Lord born as Jacen Solo, the oldest son of Han Solo and Leia Organa Solo and Jaina Solo's twin brother. Jacen was a hero of the Yuuzhan Vong War, having personally ended it by killing their true Supreme Overlord Onimi, but years later became the evil Sith Lord Caedus. His actions as a Sith during the Second Galactic Civil War forced his sister, Jaina, to kill him.","welsh"
"64","Lando Calrissian","Old friend of Han Solo. Businessman and scoundrel who leads the Rebels' space attack against the Death Star in Return of the Jedi. He eventually resigns his military commission and returns to being a businessman.","catalan"
"65","Yomin Carr","A Yuuzhan Vong character who served as one of the antagonists in the first novel of The New Jedi Order series, Vector Prime. He was killed in combat by Mara Jade Skywalker.","catalan"
"66","CB-99","Protocol droid Jabba the Hutt used to keep his will. After his death shortly before the Battle of Endor, Zorba the Hutt, Jabba's father, reclaimed Jabba's will and everything he owned through the droid. He was first featured in the novel Zorba the Hutt's Revenge.","scots_gaelic"
"67","Joruus C'baoth","Insane clone of Jedi master Jorus C'baoth and an antagonist in Timothy Zahn's Thrawn trilogy. Zahn originally conceived the character as an insane clone of Obi-Wan Kenobi. UGO Network's Adam Rosenburg listed Joruus as the 4th worst Star Wars Expanded Universe character, heavily criticising the way his name was formed from the character he was cloned from.","scots_gaelic"
"68","Tycho Celchu","TIE fighter pilot who defected to the Rebel Alliance and became a member of Rogue Squadron, and later became a general of the New Republic. He is a central character in Michael A. Stackpole's X-wing series of books.","slovak-ascii"
"69","Kadlah Cha","A minor Yuuzhan Vong character who was quickly killed off in Enemy Lines I: Rebel Dream, a novel in The New Jedi Order.","indonesian"
"70","Wyrpuuk Cha","A minor Yuuzhan Vong character who was quickly killed off in Enemy Lines I: Rebel Dream, a novel in The New Jedi Order.","malay"
"71","Charal","Force-wielding antagonist in Battle for Endor.","scots_gaelic"
"72","Chewbacca","Han Solo's partner and co-pilot of the Millennium Falcon. He would go on to become a hero of the Rebel Alliance and the New Republic. Chewbacca and his wife, Mallatobuck, have a son named Lumpawarrump.","scots_gaelic"
"73","Chine-kal","A minor Yuuzhan Vong character in The New Jedi Order, appearing in the novel Agents of Chaos II: Jedi Eclipse; killed by the novel's end.","manx"
"74","Chief Chirpa","Chief of the Ewoks on the forest moon of Endor in Return of the Jedi.","welsh"
"75","Nas Choka","Yuuzhan Vong warmaster who succeeded Tsavong Lah. Surrendered on behalf of the Yuuzhan Vong after Shimrra and Onimi's deaths, ending the conflict.","slovak-ascii"
"76","Shok Choka","A Yuuzhan Vong warrior who appeared in Edge of Victory II: Rebirth, a novel in The New Jedi Order; killed in a duel to the death by Anakin Solo.","slovak-ascii"
"77","Rush Clovis","Senator who represented the planet Scipio in the Galactic Senate, as well as a former love interest of Padmé Amidala. When the Clone Wars broke out he became a delegate of the InterGalactic Banking Clan.","manx"
"78","Commander Cody","Served directly under Obi-Wan Kenobi in Revenge of the Sith and during the clone wars. He helps him at Utapau against General Grievous then turns on him when Emperor Palpatine orders him to ""Execute Order 66"". Commander Cody is also featured in the Clone Wars cartoon series.","afrikaans"
"79","Darth Cognus","Sith Lord trained by Darth Bane and Darth Zannah. She would later train Darth Millennial.","irish"
"80","Captain Jeremoch Colton","Pilot of the Tantive IV in Revenge of the Sith","swedish"
"81","Cordé","Padmé Amidala's decoy in Attack of the Clones. She is killed by Zam Wessel in her attempt to assassinate Senator Amidala.","catalan"
"82","General Airen Cracken","Rebel and New Republic intelligence officer. West End Games Star Wars roleplaying supplements sometimes were published as ""Cracken's"" guides to their topic.","basque"
"83","Cradossk","The father of Bossk who leads the Bounty Hunters' Guild. His death at the hands of Bossk, as depitcted in the novel The Mandalorian Armor, splits the Bounty Hunters' Guild into the Guild Reform Committee and the True Guild.","portuguese"
"84","Salacious B. Crumb","Kowakian monkey-lizard in Jabba the Hutt's court. Rose's antics controlling the Crumb puppet led to an increase in the character's prominence.","catalan"
"85","Arvel Crynyd","A-wing pilot who crashes into the Star Dreadnought Executor, causing its fall and destruction on the surface of the Second Death Star, in Return of the Jedi.","welsh"
"86","Figrin D'an","Leader of the Bith band ""Figrin D'an and the Modal Nodes"" who first appeared in Star Wars Episode IV: A New Hope while playing in the Mos Eisley Cantina.","frisian"
"87","Admiral Natasi Daala","Antagonist introduced in the Jedi Academy trilogy, returning in Darksaber, Planet of Twilight, and Death Star. In the Legacy of the Force series, Daala becomes the chief of state of the Galactic Federation of Free Alliances.","tagalog"
"88","Da'Gara","A Yuuzhan Vong character who served as one of the antagonists in the first of The New Jedi Order novels, Vector Prime. He was killed when the world of Helska IV, which he was on, exploded because of the actions of the New Republic.","breton"
"89","Hego Damask","The true name of Darth Plagueis. He also used this as his alias.","polish"
"90","Joclad Danva","Human Jedi Knight from Attack of the Clones. Uses a green lightsaber in the Battle of Geonosis, where he is killed.","swedish"
"91","Biggs Darklighter","Luke Skywalker's friend from Tatooine who helps in attacking the Death Star. Biggs' reunion with Luke was cut from the theatrical release of A New Hope but restored for the Special Edition release.","danish"
"92","General Oro Dassyne","A Separatist General and an agent of the Corporate Alliance who commanded the CIS' forces on Bomis Koori IV.","manx"
"93","Gizor Delso","A Geonosian separatist who survived Darth Vader's slaughter of the remaining separatist leaders and created his own droid army. He had plans to make a new Battle Droid until Imperial Stormtroopers of the 501st Legion raided his factory on Mustafar and destroyed his plans. Gizor never made it off the planet.","danish"
"94","Dengar","Corellian bounty hunter who appeared in The Empire Strikes Back.","indonesian"
"95","Bren Derlin","Rebel officer in The Empire Strikes Back.","german"
"96","Desann","Dark Jedi antagonist in Star Wars Jedi Knight II: Jedi Outcast.","irish"
"97","Darth Desolous","A male Pau'an Dark Lord of the Sith. Once a revered Jedi Master, he loses his proper identity after falling to the dark side of the Force. Appears in the video game Star Wars: The Force Unleashed.","irish"
"98","Dewlanna","Female Wookiee who served on Garris Shrike's crew, and later became a surrogate mother to Han Solo.","swedish"
"99","D'harhan","Niordi bounty hunter who underwent cybernetic enhancement to have his head turned into a laser cannon. Longtime associate and ally of Boba Fett.","norwegian"
"100","Ima-Gun Di","Jedi Master in Star Wars: The Clone Wars.","romanian"
"101","Orgus Din - voiced by Robert Pine","Jedi who served as the master of the Hero of Tython during the Jedi prologue in Star Wars: The Old Republic. He was also the former master of Bengel Morr, the leader of the Flesh Raiders.","german"
"102","Grand Moff Vilim Disra","Imperial antagonist in the Hand of Thrawn duology and in the novel Allegiance.","german"
"103","Teneniel Djo","Witch of Dathomir appearing in The Courtship of Princess Leia. Married to Isolder, mother of Tenel Ka.","middle_frisian"
"104","Lott Dod","Neimoidian senator of the Trade Federation, representing the trade conglomerate's interests in the Galactic Senate.","swedish"
"105","Jan Dodonna","Rebel general who plans the starfighter attack on the first Death Star, and the first character to utter the phrase, ""May the Force be with you""","irish"
"106","Daultay Dofine","Commander of the Trade Federation's droid control ship in The Phantom Menace. He was killed when Anakin destroyed the ship.","romanian"
"107","Count Dooku","Separatist leader and Sith apprentice also known as Darth Tyranus. Dooku severs Anakin Skywalker's right forearm in Attack of the Clones, and Skywalker kills Dooku in Revenge of the Sith by severing his head—AFTER severing both of Dooku's hands at the wrist—in return.","slovak-ascii"
"108","Commander Doom","Served under Jedi Tiplar and Tiplee, Fought in the battle of Ringo Vinda","afrikaans"
"109","Dormé","The handmaiden to Senator Padmé Amidala, in Star Wars Episode II: Attack of the Clones.","irish"
"110","Cin Drallig","Jedi Master who served as the battlemaster of the Jedi Temple in the final days of the Clone Wars. He was killed by Darth Vader during the siege of the temple in Revenge of the Sith.","scots_gaelic"
"111","Hiram Drayson","Chandrilan military officer who lead the Chandrila Defense Fleet. He later became a senior officer in the New Republic Navy as commander of the Home Guard Fleet.","norwegian"
"112","Droidbait CT-00-2010","Clone trooper and member of domino squad. Acquired his nickname because he was always getting shot by training droids. Was stationed on a remote listening post on the Rishi moon. Was killed there by confederate commando droids.","irish"
"113","Grand Moff Dunhausen","A high-ranking Imperial officer and member of the Central Committee of Grand Moffs. Dunhausen is predominantly known for two things: his scheming nature and for always wearing a pair of blaster-shaped earrings. He owns the droid 3B6-RA-7. He is first featured in the novel The Glove of Darth Vader.","german"
"114","Captain Dunwell","Assists Trioculus in his search for Darth Vader's glove. Killed after his submarine explodes. First featured in the novel The Glove of Darth Vader.","manx"
"115","Lok Durd","Neimoidian weapon designer who served as a Separatist General; developed an experimental defoliator to be used by the CIS.[citation needed]","frisian"
"116","Durge","A Gen'Dai bounty hunter, Durge is one of the few violent members of his kind. As depicted in the Clone Wars mini series, Durge confronted Obi-Wan Kenobi on Muunilinst before being defeated by the Jedi.","danish"
"117","Kyp Durron","Jedi Master who first appears in Kevin J. Anderson's Jedi Academy Trilogy.","middle_frisian"
"118","Echo (CT-21-0408)","Clone trooper of the 501st Legion. He later was promoted to the rank or Advanced Recon Commando and was thought to have died on the planet lola sayu. One of the show's creators posted on Twitter ""I know he (Echo) meant a lot to some of you. Echo is alive.","slovak-ascii"
"119","Captain Juno Eclipse","Female Imperial pilot and Galen Marek's love interest in The Force Unleashed.","catalan"
"120","Bant Eerin","Female Mon Calamari childhood friend of Obi-Wan Kenobi.","german"
"121","Ebe Endocott","Of Triffian species, Ebe is one of the eighteen podracers seen in Episode I.","hungarian"
"122","Eirtaé","Handmaiden to Queen Amidala seen in The Phantom Menace.","irish"
"123","Elan","A Yuuzhan Vong in the novel Agents of Chaos I: Hero's Trial. She was sent by her superiors to infiltrate the Jedi Order and kill as many of them as possible with a deadly virus. Her efforts were foiled by Han Solo and she died as a result.","basque"
"124","Embo","A bounty hunter that works for either side, but has a sense of honor. His weapons include a bowcaster and his hat which he uses as a boomerang.","catalan"
"125","Emperor's Royal Guards","Elite, red-helmeted and red-cloaked stormtroopers who serve as Emperor Palpatine's personal bodyguards.","catalan"
"126","Emtrey","An M-3PO series droid that serves Rogue Squadron in the X-Wing book series.","manx"
"127","EV-9D9","Droid working in Jabba the Hutt's palace in Return of the Jedi.","german"
"128","Morallo Eval","A Separatist Phindian who came up with a plan to kidnap Chancellor Palpatine. He killed his mother as a child because he was bored.","catalan"
"129","Doctor Cornelius Evazan","Character who antagonizes Luke Skywalker in the Mos Eisley cantina in A New Hope. Claims to have the death sentence on twelve systems.","catalan"
"130","FX-7","Medical droid assistant to 2-1B on Hoth.","frisian"
"131","Keyan Farlander","Rebel Alliance starfighter pilot and Jedi. The Farlander Papers enclosed with some copies of the Star Wars: X-Wing provided backstory to the game's unnamed protagonist.","indonesian"
"132","Onaconda Farr","Senator from Rodia initially aligned with the CIS, but later returned to the Republic.","portuguese"
"133","Jagged Fel","Starfighter pilot and Baron Soontir Fel's son, appearing in the New Jedi Order and Legacy of the Force series. Engaged then married to Jaina Solo in the Fate of the Jedi series.","middle_frisian"
"134","Roan Fel","Deposed galactic emperor in the Star Wars: Legacy series.","frisian"
"135","Baron Soontir Fel","Elite Imperial starfighter pilot in Dark Horse Comics and the New Jedi Order series. Brother-in-law to Commander Wedge Antilles. Father of Jagged Fel.","middle_frisian"
"136","Davin Felth","Imperial stormtrooper 1023 who discovered that the escape pod that the Empire is looking for contained droids. He kills his superior officer Mod Terrik after becoming disgusted with the Empire's tyranny, giving the Millennium Falcon the time needed to escape from Tatooine.","german"
"137","Jango Fett","Bounty hunter, template for all the clones who made up the Republic's army. Boba Fett's father.","swedish"
"138","Boba Fett","Clone of Jango Fett raised by Jango on Kamino as his son. Becomes a bounty hunter. He is eaten alive by Jabba the Hutt's Sarlacc, but later escapes.","hungarian"
"139","Borsk Fey'lya","Bothan politician, introduced in the Thrawn trilogy, who rises to become chief of state of the New Republic. He sacrifices his life during the Yuuzhan Vong capture of Coruscant, thereby earning himself a place among the Bothan Martyrs.","frisian"
"140","Commander Fil","He is Nadar Vebb's Clone Commander from Star Wars: The Clone Wars. He died while trying to kill General Grievous's pet Gor.","danish"
"141","Kit Fisto","The design of Kit Fisto was first developed as a male Sith concept by concept artist Dermot Power. When the alien Sith apprentice idea was abandoned, Power revisited the tentacle-headed alien as a Jedi, with a less malevolent face, yet still with an imposing presence. He was killed in a duel with Darth Sidious. He has proven to become quite popular with fans, receiving a more prominent role in Star Wars: The Clone Wars and being ranked #41 in IGN's list of Top 100 Star Wars characters. He saved the life of fellow Jedi Aayla Secura and the relationship between the two pushed the boundaries of The Jedi Code. His species is Nautolan.","finnish"
"142","Fives","Former Arc Trooper and former Clone Trooper he was the only survivor of the Domino Squad. He fought alongside Captain Rex in important and clone based missions. He was the first and only known clone to have discovered Order 66 but he was killed due to his findings by the Sith Lord Darth Sidious","danish"
"143","Fode","The first head of the two-headed Troig in The Phantom Menace who commentates for the Boonta Eve Classic.","frisian"
"144","Bib Fortuna","A male Twi'lek from the planet Ryloth who serves as Jabba the Hutt's majordomo in Star Wars Episode I: The Phantom Menace and Star Wars Episode VI: Return of the Jedi.","basque"
"145","Commander Fox","A clone commander who was in charge of the Coruscant Guard in Star Wars: The Clone Wars.","swedish"
"146","Adi Gallia","Corellian Jedi master killed by General Grievous in the Star Wars Legends and by Savage Opress in the actual Star Wars Canon. Adi Gallia's former master and cousin, Stass Allie took her place on the Jedi council. Has a blue lightsaber in Star Wars: The Clone Wars, and a red or orange lightsaber in media related to The Phantom Menace.","italian"
"147","Ganodi","A Rodian youngling who was among the youngest to pass the gathering.","welsh"
"148","Gardulla the Hutt","Hutt crime lord who at one point owned Anakin and Shmi Skywalker before losing a podrace bet to Toydarian junk dealer Watto.","scots"
"149","Yarna D'al Gargan","Askajian dancer from Jabba the Hutt's palace.","breton"
"150","Garindan","Also known as Long-Snoot. Is a long-snouted creature who leads Imperial stormtroopers to the Millennium Falcon.","indonesian"
"151","Saw Gerrera","A rebel freedom fighter of the planet Onderon, brother of Steela Gerrera.","indonesian"
"152","Steela Gerrera","Elected leader of rebel freedom fighters of Onderon, sister of Saw Gerrera. She is killed when a droid gunship shoots her off of a cliff.","basque"
"153","Mirta Gev","Boba Fett's granddaughter, who first appears in Bloodlines.","esperanto"
"154","Gonk Droid","Also known as the ""GNK power droid"". A boxy, rectangular-shaped droid that walks very slowly. It is literally a bipedal, walking power generator. It is a playable character in the Lego Star Wars series of games and gives ammo to a player in Star Wars Battlefront II.","middle_frisian"
"155","Commander Gree","A clone commander who is killed by Yoda in Revenge of the Sith during Order 66. He served under Jedi master Luminara Unduli in the Clone Wars.","afrikaans"
"156","Greedo","Rodian bounty hunter who serves Jabba the Hutt. Shot and killed by Han Solo at the Mos Eisley Cantina in A New Hope","welsh"
"157","Janus Greejatus","Longtime friend and associate of Palpatine; served as Palpatine's aide during his time as Senator of Naboo and the Chommell Sector, and replaced him in the position after Palpatine was elected Supreme Chancellor. After being expelled from the Galactic Senate due to questionable practices, Greejatus became Palpatine's advisor. He continued to served in this capacity when the Galactic Empire came to power and Palpatine declared himself Emperor. He served in this capacity well into the Galactic Civil War, and was killed when the second Death Star was destroyed during the Battle of Endor.","estonian"
"158","Captain Gregor","Was a Republic Commando and was thought to have died in the Battle of Sarrish. He had amnesia and was taken to the world of Abafar to work in a diner. He is later told by Colonel Meebur Gascon that he is a clone trooper. He helps the Colonel and his droids to get off Abafar to save many Republic lives","scots_gaelic"
"159","Falon Grey","Padawan to Master Rahm Kota; two Force-sensitive clones, X1 and X2, were created from his DNA on Kamino.","manx"
"160","General Grievous","Cyborg supreme commander of the Separatist droid armies killed by Obi-Wan Kenobi in Revenge of the Sith. Also hunts Jedi.","breton"
"161","Gungi","A Wookiee youngling who was among the youngest to pass the Gathering. Gungi uses a wooden lightsaber with a green crystal.","tagalog"
"162","Nute Gunray","Viceroy of the Trade Federation killed by Darth Vader in Revenge of the Sith. Following the release of The Phantom Menace, some critics charged that the mannerisms and voices of a few Star Wars characters represented racial stereotypes. While most of the complaints were focused on Jar Jar Binks, complaints were also made concerning Nute Gunray and the Neimoidians negatively portraying Asian culture by associating what is perceived as ""Engrish"" accents with the Neimoidian race, known for its greed, cowardice, and connection with the evil Trade Federation. Actor Silas Carson read Nute Gunray's lines based on how they were read by a Thai actor, who pre-recorded Nute Gunray's lines for Carson to mimic.","tagalog"
"163","Rune Haako","Second in command to Nute Gunray and Settlement Officer of the Trade Federation.","basque"
"164","Rako Hardeen","Bounty hunter who was hired to kill Obi-Wan Kenobi during the Clone Wars. He is eventually killed by Kenobi, who then assumes his identity in order to uncover a plot to kidnap Chancellor Palpatine.","basque"
"165","Harrar","A recurring Yuuzhan Vong character in The New Jedi Order. By the series' end, he betrayed his species's destructive empire and sided with the Galactic Alliance to end their reign of terror.","norwegian"
"166","A'Sharad Hett","A Jedi Master whose father was Sharad Hett another famous Jedi Master. After A'Sharad's father died with his native people (Sand People) he inherited his fathers lightsaber and now uses both his and his fathers.","middle_frisian"
